date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:49	477/477	---MCZ	200	added ('OK')	text/plain	etag:cacheable:593472ad997d6b91bc73f784bff775cc	https://www.odofit.com/robots.txt		(from )
13:56:50	80824/80824	---MCZ	200	added ('OK')	text/html	etag:cacheable:0fbf69103153b244eb451346f3a7d278	https://www.odofit.com/	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/www.odofit.com/index.html	(from )
13:56:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:56:50%20GMT	http://cdn.shopify.com/s/files/1/0615/4928/1493/files/favicon-32x32_32x32.png?v=1640607965	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/s/files/1/0615/4928/1493/files/favicon-32x32_32x32.09c82.delayed	(from https://www.odofit.com/)
13:56:50	664/664	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2010:56:51%20GMT	https://cdn.shopify.com/s/files/1/0615/4928/1493/files/favicon-32x32_32x32.png?v=1640607965	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/s/files/1/0615/4928/1493/files/favicon-32x32_32x329c82.png	(from https://www.odofit.com/)
13:56:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:56:51%20GMT	http://cdn.shopify.com/s/files/1/0615/4928/1493/files/imageedit_7_3382580420_1200x1200.png?v=1640173912	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/s/files/1/0615/4928/1493/files/imageedit_7_3382580420_1200x12009f4c.png	(from https://www.odofit.com/)
13:56:51	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Aug%202022%2008:35:24%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://www.odofit.com/)
13:56:51	165409/165409	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2010:56:51%20GMT	https://cdn.shopify.com/s/files/1/0615/4928/1493/files/imageedit_7_3382580420_1200x1200.png?v=1640173912	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/s/files/1/0615/4928/1493/files/imageedit_7_3382580420_1200x12009f4c.png	(from https://www.odofit.com/)
13:56:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:56:52%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.odofit.com/)
13:56:52	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2007:43:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.odofit.com/)
13:56:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:56:52%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/xbrey/Downloads/ODOFIT_SITE/ODOFIT/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.odofit.com/)
